"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"91","ECAD","0",30.689928,7.051022,7.072248,-0.0212260000000004,1.01482150720049
"92","ECAD","0",30.73238,7.093474,7.072248,0.0212260000000004,0.985394961483052
"93","ECAD","0.001",35.150215,11.56451775,7.072248,4.49226975,0.0444316106392229
"94","ECAD","0.001",29.908247,6.32254975,7.072248,-0.74969825,1.68144110827627
"95","ECAD","0.001",31.290667,7.70496975,7.072248,0.63272175,0.644958505321009
"96","ECAD","0.01",29.868477,6.02303575,7.072248,-1.04921225,2.06939959172345
"97","ECAD","0.01",34.063313,10.21787175,7.072248,3.14562375,0.112998556643821
"98","ECAD","0.01",31.25376,7.40831875,7.072248,0.336070749999999,0.79219596055331
"99","ECAD","0.01",29.44613,5.60068875,7.072248,-1.47155925,2.77321457896761
"100","ECAD","0.1",29.109089,4.58074233333333,7.072248,-2.49150566666667,5.62364555120677
"101","ECAD","0.1",30.277843,5.74949633333333,7.072248,-1.32275166666667,2.50142754856593
"102","ECAD","0.1",29.73755,5.20920333333333,7.072248,-1.86304466666667,3.63774563215254
"103","ECAD","0.1",28.95096,4.42261333333333,7.072248,-2.64963466666667,6.27508354399882
"104","ECAD","1",29.483074,6.27993875,7.072248,-0.792309250000001,1.73184432206996
"105","ECAD","1",29.81901,6.61587475,7.072248,-0.45637325,1.37208822547795
"106","ECAD","1",29.755733,6.55259775,7.072248,-0.51965025,1.43360765892272
"107","ECAD","1",30.172329,6.96919375,7.072248,-0.103054249999998,1.0740448584215
"108","ECAD","10",31.204319,7.924527,7.072248,0.852279000000001,0.553909044176649
"109","ECAD","10",30.567333,7.287541,7.072248,0.215293000000001,0.86137120423924
"110","ECAD","10",30.343868,7.064076,7.072248,-0.00817200000000007,1.0056804717999
"111","ECAD","10",29.35911,6.079318,7.072248,-0.992929999999999,1.9902228750812
